#	対象ＤＢのカラム	項目ID	半角英数字	半角数字	半角記号	半角カナ	全角カナ	全角	桁数(MAX)	桁数(MIN)	入力可能最大桁数	入力可能最小桁数	整数部の桁数	小数点以降の桁数	形式
1	schedule_google_calendar.client_id	clientId	1	1	1				500								
2	schedule_google_calendar.client_secret	clientSecret	1	1	1				500								
3	schedule_google_calendar.reference_field_id	referenceFieldId							255								
4	schedule_google_calendar.schedule_sync_select	scheduleSyncSelect							1								
5	schedule_google_calendar.schedule_sync_start_time	scheduleSyncStartTime													HH:mm		
6	schedule_google_calendar.schedule_sync_end_time	scheduleSyncEndTime													HH:mm		
7	schedule_google_calendar.schedule_sync_minute	scheduleSyncMinute									1440	1					
8	schedule_google_calendar.schedule_sync_all_day_time	scheduleSyncAllDayTime													HH:mm		
9	schedule_google_calendar.schedule_sync_target_range_start	scheduleSyncTargetRangeStart		1							700	0					
10	schedule_google_calendar.schedule_sync_target_range_end	scheduleSyncTargetRangeEnd		1							5	0					
11	schedule_google_calendar.schedule_sync_default_subject	scheduleSyncDefaultSubject							50								
12	schedule_google_calendar.access_token	access_token	1	1	1				500								
13	schedule_google_calendar.refresh_token	refresh_token	1	1	1				500								
14	schedule_google_calendar.token_expires_date	token_expires_date													yyyy/MM/dd HH:mm:ss		
15	ip_address.ip_address	ipAddress							39						ipAddress		
16	settings_company_holidays.company_holiday_date	companyHolidayDates		1	1				10						yyyy/MM/dd		
17	settings_holidays.day_start	dayStart		1							7	1					
18	cognito_settings.provider_name	providerName	1	1	1				50								
19	cognito_settings.reference_value	referenceValue	1	1	1				255								
20	-	metaData														Csv	2048
21	cognito_settings.meta_data_name	metaDataName							100								
22	-	offset		1								0					
23	-	limit		1								1					
24	task.task_id	taskId										0					
25	milestones.milestone_name	milestoneName							255								
26	milestones.milestone_id	milestoneId										0					
27	milestones.memo	memo							255								
28	milestones.is_done	isDone									1	0					
29	products_histories.reason_edit	reasonEdit							500								
30	timelines_groups.timeline_group_id	timelineGroupId		1													
31	timelines_groups_invites.invite_id	inviteId		1								0					
32	timelines_groups_invites.invite_type	inviteType		1							2	1					
33	timelines_groups_invites.status	status		1							2	1					
34	timelines_groups_invites.authority	authority		1							2	1					
35	timelines_groups.timeline_group_name	timelineGroupName							255								
36	-	imageData														Image	
37	employees.employee_id	employeeId		1								1					
38	employees_groups.group_type	groupType		1								1					
39	departments.departmentId	departmentId		1								1					
40	employees_group_participants.participant_group_id	participantGroupId		1								1					
41	employees_group_participants.participant_type	participantType		1								1					
42	employees_groups.group_name	groupName							50								
43	customers_list_search_condition.customer_list_search_condition_id	customerListFavouriteId		1								1					
44	-	iconData														Image	2048
45	notification_email.email	email													email		
46	notification_information.notification_type	notificationType		1								0					
47	notification_information.notification_subtype	notificationSubtype		1								0					
48	notification_information.message	message							255								
49	notification_address.created_notification_date	createdNotificationDate													yyyy/MM/dd		
50	notification_detail_setting.setting_notification_date	settingNotificationDate													yyyy/MM/dd		
51	notification_setting.notification_time	notificationTime		1							1440	0					
52	notification_address.notification_id	notificationId		1								1					
53	feedback.feedback_type	feedbackType							1								
54	feedback.display_type	displayType							1								
55	feedback.terminal_type	terminalType							1								
56	feedback.tenant_name	tenantName							255								
57	feedback.company_name	companyName							255								
58	feedback.content	content							255								
59	field_belong	fieldBelong		1								1					
60	tab_belong	tabBelong		1								1					
61	tab_id	tabId		1								1					
62	extension_belong	extensionBelong		1								1					
63	customers.customer_id	customerId		1								1					
64	scenarios.scenario_id	scenarioId		1								1					
65	scenarios_details.finish_after_day	finishAfterDay		1													
66	scenarios_details.finish_date	finishDate													yyyy/MM/dd		
67	reports.quick_sight_id	quickSightId	1	1	1				255								
68	general_setting.setting_value	listUpdateTime													HH:mm		
69	data_source.description	description							500								
70	data_source.sync_time	syncTime													HH:mm		
71	data_source.sync_interval_time	syncIntervalTime		1							1440	15					
72	customers.format_date_id	formatDateId		1							3	1					
73	customers_list.customer_list_id	customerListId		1								1					